;Delta;Theta;Low Alpha;High Alpha;Low Beta;High Beta;Low Gamma;Middle Gamma
394;163315;174239;41833;8634;10050;10288;5608;30778
395;163315;174239;41833;8634;10050;10288;5608;30778
396;75043;26340;3094;840;2896;2243;2737;7421
397;333813;535195;18123;5185;11827;9952;10330;12423
398;107824;73057;5037;3545;4158;4343;2370;4698
399;337576;541920;30596;25654;4538;6238;20153;21143
400;1461103;393070;65963;65697;109112;47344;34005;123595
401;1982379;957975;80650;141624;29445;56794;32134;124998
402;1570460;105034;17896;24076;22348;14347;23648;75602
403;632296;73890;13539;3034;5653;17423;4228;4932
404;84236;17093;2767;4398;1895;1989;1903;670
405;1902122;102813;11853;9347;22562;9498;7943;4034
406;1176059;153493;9506;2521;11591;10169;16310;2872
407;253825;89635;11110;18690;22878;15190;6108;3976
408;741103;120974;22137;12378;10639;15024;7358;2685
409;600775;261270;21936;16265;34962;11882;2296;1986
410;2133877;135818;42556;20423;21846;18300;9947;7711
411;600669;174426;4017;30206;26023;15235;8083;3954
412;1915300;1763640;64437;20361;110271;74668;37848;26225
413;1390111;106542;26607;9423;18011;18390;11990;3781
414;13522;22618;18351;4901;2359;2426;2511;364
415;13522;22618;18351;4901;2359;2426;2511;364
416;1098233;160751;25644;18402;7456;6396;11615;5248
417;1732421;237037;11140;12263;16612;16189;9315;14183
418;216020;115164;10968;3129;2439;3169;2441;4109
419;1265800;320802;39101;29078;31706;29021;9055;11005
420;91473;11343;8021;7981;1290;1691;1839;3368
421;885784;73589;13639;10532;24034;11249;9634;20900
422;885784;73589;13639;10532;24034;11249;9634;20900
423;556885;187546;23781;18153;11689;11542;5859;15993
424;483086;1493155;31280;29550;56644;40141;28717;47167
425;1099309;1678930;87946;33894;94920;72199;62370;50492
426;487250;22061;10912;1137;4375;5950;3661;3126
427;214871;11946;7668;2377;1816;3810;952;2690
428;793965;88608;30380;16197;13722;10805;10105;5579
429;656091;27873;14259;5758;10823;6579;8430;6587
430;1582132;358501;10781;12226;25502;17375;9507;12585
431;569422;133637;43585;7364;19702;16336;9828;14622
432;1722483;699656;104020;17306;82145;34164;23209;80899
433;219770;249809;86697;7342;16262;16862;9692;35616
434;432033;85607;6164;8537;4627;3448;1459;6319
435;432033;85607;6164;8537;4627;3448;1459;6319
436;246046;201204;30032;12642;9015;10619;6012;7245
437;1182485;165014;34099;6626;15237;8456;6235;27933
438;98561;24662;5739;4227;2015;1412;3806;3681
439;1119941;762791;121309;18946;36285;79880;26110;48930
440;709858;209496;6411;56415;29793;17790;7510;10574
441;195336;151410;9437;2839;10991;16050;5035;14684
442;1807721;405446;5582;24748;15156;7111;7222;19647
443;802551;256521;5686;9863;11421;8508;5315;25901
444;214598;12731;3928;2313;1940;3777;1766;4126
445;978978;791583;136702;87968;11448;39221;18497;75015
446;266726;32260;1327;5856;3926;3480;1273;6387
447;1374657;81930;12209;16007;12613;7293;9381;20275
448;60717;21037;6185;4972;4056;3349;1904;9014
449;138762;77584;13557;4296;5752;3130;3895;8511
450;2245207;1089787;251664;24236;63710;117422;39435;10068
451;1017829;35478;7914;9024;8462;11062;4893;5974
452;1169170;73296;10765;5993;13300;7595;14403;2583
453;866825;88086;11433;9785;8746;9463;8153;2150
454;1361302;387505;22172;6980;9814;4351;6718;3437
455;438944;177364;16999;38819;10864;12317;20302;2673
456;393836;38273;3448;10073;6153;10818;8144;1816
457;1847781;412187;196355;128781;30983;54339;43328;48468
458;2781257;355164;133212;149216;66365;68331;100448;28751
459;1383105;79395;10125;18430;16114;29019;12541;23016
460;1614422;150462;57638;12507;8010;8547;7264;10439
461;400910;100147;5959;17410;5660;23070;4189;12606
462;1631976;152620;36970;9426;12475;23374;3771;17944
463;131744;51534;1437;3391;1879;1718;1482;5475
464;467086;36223;5101;6915;3194;3036;1435;6228
465;875608;141853;15021;13961;10154;12477;9569;17565
466;909396;138070;38496;41009;17518;6157;4879;13377
467;1909629;156266;13886;20503;13482;30384;9563;6607
468;1605956;284912;26630;43142;36436;37159;26587;44975
469;462528;188132;42089;22383;11013;6422;7480;32107
470;567203;52583;3858;4714;2425;4122;2702;3111
471;209190;141270;12264;5721;8495;37674;5860;28407
472;1732185;171188;36339;29632;29157;68007;15432;45562
473;2407758;52531;57266;11322;5854;6450;6367;14950
474;1755226;111229;39354;20151;31734;9577;5759;34263
475;43955;19961;6664;1676;2918;1273;1501;1358
476;171510;35549;14707;2228;6858;3063;3817;985
477;833923;137478;108992;9268;26384;21776;4182;12237
478;711761;16272;6344;5981;5362;1535;2077;8214
479;644404;128670;33785;9932;29685;10748;3210;15883
480;492634;418265;102588;30682;41248;34899;19851;64343
481;90338;9214;2706;2925;1499;2524;1374;3079
482;848185;349830;13840;10175;13163;16883;11284;17371
483;825223;195989;45103;52027;42538;37800;29010;40047
484;194593;23416;2262;2053;1959;4130;1348;2777
485;960172;16567;5621;3548;2731;1706;756;4310
486;658369;76908;27235;10906;7257;14751;5320;14008
487;572951;243798;3502;17126;12967;15690;5536;19351
488;1874324;621812;36779;32859;19468;34507;24791;66708
489;1874324;621812;36779;32859;19468;34507;24791;66708
490;228185;109780;8167;4250;10669;14122;5522;12307
491;1608380;14558;1356;22545;17979;8410;20387;35922
492;2003426;194309;10058;5152;5934;5976;6328;18485
493;1788557;238836;125687;44664;27320;93681;41343;78196
494;2455382;118657;20736;14329;7327;9333;9643;22297
495;657120;261063;45338;13542;3040;16276;5134;26663
496;657120;261063;45338;13542;3040;16276;5134;26663
497;408480;76509;11086;8331;28316;9982;6431;17518
498;41135;52721;387;6925;3899;2466;866;5240
499;1572409;506863;6212;10701;29413;17327;6021;18956
500;959302;163652;16165;15573;9444;17225;10723;20694
501;1043389;184609;6721;4490;19345;12855;6326;22408
502;2320455;482348;84645;73992;54097;22606;12770;102387
503;591148;89950;42792;14137;11686;9999;8572;25004
504;209598;46550;2436;4584;7320;1256;964;8784
505;106605;26344;8596;6770;2305;2313;2191;5176
506;960703;156882;24894;6964;7825;14695;9057;27224
507;1028802;54799;18683;16306;19621;8519;5411;20429
508;21723;15143;9931;3997;3838;2449;991;4563
509;21723;15143;9931;3997;3838;2449;991;4563
510;1320114;139489;10846;4218;11377;13442;4718;22823
511;49615;22249;1360;2170;2315;2752;1562;6154
512;568524;614212;2888;35876;32187;35409;16838;90443
513;1394956;60941;29073;1686;9818;12541;7131;20233
514;125603;30103;4667;2654;2870;1455;4301;6981
515;224756;33766;8853;2494;2785;3585;1854;7212
516;224756;33766;8853;2494;2785;3585;1854;7212
517;2088146;286511;89262;53221;43746;70874;17154;68335
518;3628962;307974;137695;25186;35653;24677;20346;64363
519;702790;96298;18916;33978;6363;9509;7860;8630
520;654167;72829;8295;7594;15149;14015;5185;7144
521;198755;24147;6962;6891;4463;1484;5707;1374
